Category,SubCategory,revolut_category,lunar_category,jyske_category
Bank,Insurance_bank,,,
Bank,Fees,,,Interest and fees
Bank,Cash deposits,Hotovost,,
Bank,Cash withdrawal,,,
Housing,Rent,Nájem,Home,Rent
Housing,Charges and energy,,,Home loan
Housing,Charges and energy,,,Mortgage loan
Housing,Charges and energy,,,Real estate tax
Housing,Charges and energy,,,Waste disposal
Housing,Charges and energy,,,"Owners association, etc."
Housing,Charges and energy,,,Water
Housing,Charges and energy,,,Electricity
Housing,Charges and energy,,,Heat
Housing,Charges and energy,,,Maintanance
Housing,Washing machine + dryer,,,"Cleaning and gardening help, etc."
Travelling,Travelling,Cestování,Vacation,Holiday and travel
Travelling,Travelling,Cestování,Vacation,Hotel and caravanning
Charity,Charity,,Charity,Gifts and charity
Transport,Transport,Doprava,Transport,Bridge tolls and ferry ticket
Transport,Transport,Doprava,Transport,Bridge tolls and ferry ticket
Transport,Transport,Doprava,Transport,Parking
Transport,Transport,Doprava,Transport,Taxis and public transportation
Transport,Transport,Doprava,Transport,Transportation
Miscellaneous,Miscellaneous,,,
Food,Restaurant,Restaurace,Food and Drinks,"Café, restaurant and bar"
Food,Restaurant,Restaurace,Food and Drinks,Take away and fast food
Food,Restaurant,Restaurace,Food and Drinks,Food (Other)
Food,Cafe,Káva,,
Food,Groceries,Potraviny,Groceries,Groceries
Food,Groceries,Potraviny,Groceries,"Bakery, butcher, wine shop etc."
Courses + study,Courses + study,Vzdělávání,,"School, education and course expenses"
Cell phone + internet,Cell phone + internet,,,"Phone, internet, streaming and TV"
Motorcycle + bicycle,Gasoline,,,Fuel
Motorcycle + bicycle,Maintenance,,,Bicycles and other equipment
Motorcycle + bicycle,Maintenance,,,Motor vehicle tax
Motorcycle + bicycle,Maintenance,,,Service and repair
Shopping,Gifts,Dar,,
Shopping,Gifts,Dárek,,
Shopping,Personal care,Drogerie,Personal care,Clothing and pers. care prod. (Other)
Shopping,Electronics,,,Electronics and gadgets
Shopping,Medicines and doctors,Zdraví,,"Physiotherapy, massage, etc."
Shopping,Medicines and doctors,Zdraví,,"Dentist, doctor and medication"
Shopping,Apartment furniture and equipment,Domov,,Furniture and home accessories
Shopping,Apartment furniture and equipment,Domov,,Home (Other)
Shopping,Clothes,,,"Clothing, shoes and accessories"
Shopping,Other shopping,Nákupy,Shopping,Games and toys
Shopping,Other shopping,Nákupy,Shopping,Glasses and contact lenses
Shopping,Other shopping,,,
Insurance,Insurance,Pojištění,Insurance,Union and unemployment insurance
Insurance,Insurance,Pojištění,Insurance,Home insurance
Insurance,Insurance,Pojištění,Insurance,Contents insurace
Insurance,Insurance,Pojištění,Insurance,Car insurance and roadside service
Insurance,Insurance,Pojištění,Insurance,Accident and health insurance
Insurance,Insurance,Pojištění,Insurance,Insurance (Other)
Income,Money from parents,,,
Income,Interest,Úrok,,Interest and capital income
Income,Salary,Plat,Not categorised,"Pay, benefits and pension"
Income,Income_other,,,Mileage allowance
Income,Income_other,,,Rental
Income,Income_other,,,Social security
Income,Income_other,,,Income (Other)
Miscellaneous,Miscellaneous,Obecné,,No category
Miscellaneous,Miscellaneous,Cashback,,
Miscellaneous,Miscellaneous,Vrácení,,
Miscellaneous,Miscellaneous,Veřejné služby,,
Miscellaneous,Miscellaneous,Kapesné pro děti,Kids,Child support and alimony
Miscellaneous,Miscellaneous,Půjčka,Loan,Consumer loan
Miscellaneous,Miscellaneous,Půjčka,Loan,Student loan
Miscellaneous,Miscellaneous,Půjčka,Loan,Loan and debt (Other)
Miscellaneous,Miscellaneous,Úvěr,,
Miscellaneous,Miscellaneous,Úspory,,
Miscellaneous,Miscellaneous,,Pets,Pets
Miscellaneous,Miscellaneous,,Miscellaneous,
Miscellaneous,Miscellaneous,Čisté tržby,,
Miscellaneous,Miscellaneous,,,"Tips, lottery and games"
Miscellaneous,Miscellaneous,,,Loan and lease payment
Miscellaneous,Miscellaneous,,,Daycare
Miscellaneous,Miscellaneous,,,Education and institution (Other)
Services (hair. nails. make-up...),Services (hair. nails. make-up...),Služby,,Hair and skin care
Transfers,Investment,Jmění,,
Transfers,Investment,Investice,Investments,Securities
Transfers,Investment,Investice,Investments,Savings and investment (Other)
Transfers,Credit card,,,Credit cards
Transfers,Credit card,,,No category (Credit card)
Transfers,Pension,,,Pension savings
Transfers,Forwarding from accounts,Převody,,No category (Transfer)
Transfers,Forwarding from accounts,Dobití,,
Transfers,Forwarding from accounts,,,Child savings account
Transfers,Forwarding from accounts,,,Savings
Entertainment,Books,,,"Newspapers, magazines and books"
Entertainment,Culture,,,"Concert, cinema and museum"
Entertainment,Culture,,,"Films, music, apps and software"
Entertainment,Other entertainment,Zábava,Entertainment,Media (Other)
Entertainment,Other entertainment,Zábava,Entertainment,Leisure (Other)
Entertainment,Other entertainment,Zábava,Entertainment,Interest groups
Entertainment,Sport,,,Sport and leisure activities
