https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1743379200,2025-03-31 00:00:00,BTC/EUR,76118,76128,76096,76104,0.06668790,5075.2159415999995
1743292800,2025-03-30 00:00:00,BTC/EUR,76346,77200,75443,76089,110.41029888,8401009.231480319
1743206400,2025-03-29 00:00:00,BTC/EUR,77951,78141,75413,76344,104.84888308,8004583.129859519
1743120000,2025-03-28 00:00:00,BTC/EUR,80752,81015,77206,77951,138.63298667,10806579.943913171
1743033600,2025-03-27 00:00:00,BTC/EUR,80915,81397,79551,80750,143.85471048,11616267.87126
1742947200,2025-03-26 00:00:00,BTC/EUR,81035,81857,79840,80902,132.52357775,10721422.487130499
1742860800,2025-03-25 00:00:00,BTC/EUR,81008,82022,79927,81084,111.07123889,9006100.334156761
1742774400,2025-03-24 00:00:00,BTC/EUR,79438,82050,79017,81009,213.04543108,17258597.32635972
1742688000,2025-03-23 00:00:00,BTC/EUR,77492,79461,77463,79461,63.47378093,5043690.106478729
1742601600,2025-03-22 00:00:00,BTC/EUR,77701,78158,77353,77498,32.74539488,2537702.61241024
1742515200,2025-03-21 00:00:00,BTC/EUR,77563,78288,76782,77686,93.48357912,7262365.32751632
1742428800,2025-03-20 00:00:00,BTC/EUR,79623,80124,77063,77566,146.15455444,11336624.16969304
1742342400,2025-03-19 00:00:00,BTC/EUR,75596,79780,75504,79639,319.20832109,25421431.48328651
1742256000,2025-03-18 00:00:00,BTC/EUR,76925,76933,74258,75632,128.97612932,9754722.61273024
1742169600,2025-03-17 00:00:00,BTC/EUR,75910,77605,75668,76948,104.80018637,8064164.74079876
1742083200,2025-03-16 00:00:00,BTC/EUR,77603,78224,75366,75910,122.61824251,9307950.7889341
1741996800,2025-03-15 00:00:00,BTC/EUR,77228,77835,76900,77585,73.48760917,5701536.15745445
1741910400,2025-03-14 00:00:00,BTC/EUR,74673,78468,74459,77208,214.64997461,16572695.239688879
1741824000,2025-03-13 00:00:00,BTC/EUR,76883,78300,73594,74715,238.94499089,17852774.99434635
1741737600,2025-03-12 00:00:00,BTC/EUR,75995,77422,73927,76888,233.99205962,17991181.48006256
1741651200,2025-03-11 00:00:00,BTC/EUR,72534,76483,70666,75975,442.10463968,33588899.999688
1741564800,2025-03-10 00:00:00,BTC/EUR,74329,77527,71511,72459,631.25529008,45740127.06390672
1741478400,2025-03-09 00:00:00,BTC/EUR,79602,79874,73700,74267,354.31747858,26314096.18170086
1741392000,2025-03-08 00:00:00,BTC/EUR,80107,80209,78721,79587,105.47065718,8394093.192984661
1741305600,2025-03-07 00:00:00,BTC/EUR,83409,84526,78588,80121,370.26595202,29666078.34179442
1741219200,2025-03-06 00:00:00,BTC/EUR,83979,85911,81460,83410,285.72353527,23832200.076870702
1741132800,2025-03-05 00:00:00,BTC/EUR,82163,84976,81376,83996,246.64336082,20717055.73543672
1741046400,2025-03-04 00:00:00,BTC/EUR,82214,83793,77643,82163,354.77319455,29149229.983811654
1740960000,2025-03-03 00:00:00,BTC/EUR,90596,90773,81173,82158,370.25603223,30419495.095952343
1740873600,2025-03-02 00:00:00,BTC/EUR,83021,91906,82041,90596,482.00461252,43667689.87586192
1740787200,2025-03-01 00:00:00,BTC/EUR,81289,83410,80781,83032,156.09859753,12961178.75011096
1740700800,2025-02-28 00:00:00,BTC/EUR,81401,82033,75158,81347,582.27516126,47366337.54301722
1740614400,2025-02-27 00:00:00,BTC/EUR,80198,83048,79439,81460,243.19931086,19811015.8626556
1740528000,2025-02-26 00:00:00,BTC/EUR,84272,85064,78365,80155,432.29408804,34650532.6268462
1740441600,2025-02-25 00:00:00,BTC/EUR,87480,88363,81706,84278,797.13218130,67180705.97560139
1740355200,2025-02-24 00:00:00,BTC/EUR,91933,92100,87354,87559,206.93996158,18119456.09598322
1740268800,2025-02-23 00:00:00,BTC/EUR,92346,92458,91098,91913,56.42431266,5186127.849518579
1740182400,2025-02-22 00:00:00,BTC/EUR,91991,92756,91629,92350,32.85413888,3034079.725568
1740096000,2025-02-21 00:00:00,BTC/EUR,93663,94999,90668,91968,267.17415330,24571472.5306944
1740009600,2025-02-20 00:00:00,BTC/EUR,92682,94086,92473,93658,131.06852092,12275615.532325359
1739923200,2025-02-19 00:00:00,BTC/EUR,91498,92889,90915,92724,143.10986369,13269719.000791559
1739836800,2025-02-18 00:00:00,BTC/EUR,91382,92552,89410,91498,187.99220955,17200911.1894059
1739750400,2025-02-17 00:00:00,BTC/EUR,91682,92670,90887,91383,138.90599503,12693646.54382649
1739664000,2025-02-16 00:00:00,BTC/EUR,93107,93251,91645,91699,57.74658317,5295303.930105831
1739577600,2025-02-15 00:00:00,BTC/EUR,92995,93447,92744,93112,37.74740273,3514736.16299576
1739491200,2025-02-14 00:00:00,BTC/EUR,92385,94139,91776,93004,135.34462864,12587591.84203456
1739404800,2025-02-13 00:00:00,BTC/EUR,94191,94347,91095,92384,168.60903588,15576777.170737918
1739318400,2025-02-12 00:00:00,BTC/EUR,92451,94480,91163,94216,135.87930064,12802004.189098239
1739232000,2025-02-11 00:00:00,BTC/EUR,94614,95585,91520,92443,249.89797857,23101318.83294651
1739145600,2025-02-10 00:00:00,BTC/EUR,93591,95292,92550,94623,131.98584546,12488896.65496158
1739059200,2025-02-09 00:00:00,BTC/EUR,93539,94359,92031,93584,232.63571975,21770981.197084
1738972800,2025-02-08 00:00:00,BTC/EUR,93546,93907,92829,93539,51.84162551,4849213.80857989
1738886400,2025-02-07 00:00:00,BTC/EUR,93030,96521,92658,93555,197.13581959,18443041.60174245
1738800000,2025-02-06 00:00:00,BTC/EUR,92961,95728,92205,93055,186.73376520,17376510.520686
1738713600,2025-02-05 00:00:00,BTC/EUR,94341,95359,92510,92943,171.78991059,15966669.65996637
1738627200,2025-02-04 00:00:00,BTC/EUR,98300,98700,92735,94404,438.20876837,41368660.56920148
1738540800,2025-02-03 00:00:00,BTC/EUR,95358,99352,89558,98308,522.58730727,51374513.00309916
1738454400,2025-02-02 00:00:00,BTC/EUR,97312,98147,93691,95394,405.42869850,38675465.264709
1738368000,2025-02-01 00:00:00,BTC/EUR,98851,99213,96965,97360,121.03929387,11784385.6511832
1738281600,2025-01-31 00:00:00,BTC/EUR,100712,102021,97940,98887,163.02242714,16120798.752593178
1738195200,2025-01-30 00:00:00,BTC/EUR,99491,101972,99100,100723,195.85658588,19727262.89959124
1738108800,2025-01-29 00:00:00,BTC/EUR,97128,100581,97124,99509,165.71839826,16490472.092454338
1738022400,2025-01-28 00:00:00,BTC/EUR,97791,99373,96060,97150,198.32010394,19266798.097771
1737936000,2025-01-27 00:00:00,BTC/EUR,97954,98695,93433,97822,485.32545124,47475506.29119928
1737849600,2025-01-26 00:00:00,BTC/EUR,99877,100534,97949,98063,86.58326279,8490614.49897577
1737763200,2025-01-25 00:00:00,BTC/EUR,99925,100400,99308,99882,66.50014515,6642167.4978722995
1737676800,2025-01-24 00:00:00,BTC/EUR,99802,102000,98490,99951,178.73483224,17864725.21722024
1737590400,2025-01-23 00:00:00,BTC/EUR,99579,102700,97212,99806,266.71510769,26619768.038108144
1737504000,2025-01-22 00:00:00,BTC/EUR,102013,102116,99218,99596,160.00595317,15935952.91191932
1737417600,2025-01-21 00:00:00,BTC/EUR,98102,102899,96450,102022,256.39623072,26158056.25051584
1737331200,2025-01-20 00:00:00,BTC/EUR,98511,105950,96733,98124,588.10029860,57706753.6998264
1737244800,2025-01-19 00:00:00,BTC/EUR,101474,103600,97008,98511,322.26267659,31746418.53355749
1737158400,2025-01-18 00:00:00,BTC/EUR,101127,101801,99193,101470,173.58090180,17613254.105646
