DATAFLOW,LAST UPDATE,freq,statinfo,unit,currency,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2018-12-31,25.724,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-02,25.752,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-03,25.683,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-04,25.653,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-07,25.572,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-08,25.642,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-09,25.629,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-10,25.626,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-11,25.606,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-14,25.561,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-15,25.572,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-16,25.564,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-17,25.537,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-18,25.580,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-21,25.593,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-22,25.612,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-23,25.693,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-24,25.695,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-25,25.697,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-28,25.726,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-29,25.747,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-30,25.802,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-01-31,25.760,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-02-01,25.695,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-02-04,25.728,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-02-05,25.697,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-02-06,25.781,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-02-07,25.809,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-02-08,25.806,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-02-11,25.836,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-02-12,25.871,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-02-13,25.795,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-02-14,25.790,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-02-15,25.709,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-02-18,25.715,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-02-19,25.717,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-02-20,25.679,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-02-21,25.648,,
ESTAT:ERT_BIL_EUR_D(1.0),12/04/25 11:00:00,Daily,Average,National currency,Czech koruna,2019-02-22,25.667,,
