Date,Time,Date of posting,Time of posting,Text,Message,Transaction type,Card info,Amount,Currency,Sender,Receiver,Note,Category,Balance
28/02/2025,0.783055556,45716,0.783055556,xxx,,account,,"11,19",DKK,yyyy,,,Miscellaneous,42625.61
28/02/2025,0.173009259,45716,0.173009259,xxx,,account,,"7.295,37",DKK,yyyy,,,Not categorised,42614.42
28/02/2025,0.141331019,45716,0.141331019,xxx,,account,,"12.353,00",DKK,yyyy,,,Not categorised,35319.05
27/02/2025,0.57875,45715,0.80162037,xxx,,card,5555,"-2.000,00",DKK,yyyy,,,Investments,22966.05
27/02/2025,0.634270833,45715,0.784270833,xxx,,card,5555,"-105,00",DKK,yyyy,,,Shopping,24966.05
24/02/2025,0.447465278,45712,0.798055556,xxx,,card,5555,"-100,00",DKK,yyyy,,,Charity,25071.05
18/02/2025,0.5846875,45706,0.866215278,xxx,,card,5555,"-299,00",DKK,yyyy,,,Transport,25171.05
17/02/2025,0.444988426,45705,0.705972222,xxx,,card,5555,"-100,00",DKK,yyyy,,,Charity,25470.05
16/02/2025,0.47537037,45704,0.75662037,xxx,,card,5555,"-148,95",DKK,yyyy,,,Food and Drinks,25570.05
15/02/2025,0.378275463,45703,0.809305556,xxx,,card,5555,"-15,00",DKK,yyyy,,,Groceries,25719
15/02/2025,0.381608796,45703,0.753564815,xxx,,card,5555,"-20,00",DKK,yyyy,,,Charity,25734
14/02/2025,0.668402778,45702,0.816157407,xxx,,card,5555,"-1.200,00",DKK,yyyy,,,Investments,25754
14/02/2025,0.886342593,45702,0.724351852,xxx,,card,5555,"-3.250,00",DKK,yyyy,,,Investments,26954
10/02/2025,0.448009259,45698,0.779039352,xxx,,card,5555,"-19,00",DKK,yyyy,,,Home,30204
08/02/2025,0.37837963,45696,0.91244213,xxx,,card,5555,"-15,00",DKK,yyyy,,,Groceries,30223
05/02/2025,0.568159722,45693,0.704895833,xxx,,card,5555,"-1.250,00",DKK,yyyy,,,Entertainment,30238
04/02/2025,0.47537037,45692,0.990243056,xxx,,card,5555,"-500,00",DKK,yyyy,,,Investments,31488
04/02/2025,0.854849537,45692,0.718587963,xxx,,card,5555,"-557,00",DKK,yyyy,,,Entertainment,31988
03/02/2025,0.072627315,45691,0.975196759,xxx,,card,5555,"-300,00",DKK,yyyy,,,Transport,32545
03/02/2025,0.449027778,45691,0.8353125,xxx,,card,5555,"-19,00",DKK,yyyy,,,Home,32845
03/02/2025,0.885219907,45691,0.816793981,xxx,,card,5555,"-1.705,00",DKK,yyyy,,,Entertainment,32864
03/02/2025,0.134594907,45691,0.134594907,xxx,,account,,"1.097,00",DKK,yyyy,,,Not categorised,34569
03/02/2025,0.05568287,45691,0.05568287,xxx,,directDebit,,"-7.528,26",DKK,yyyy,,,Home,33472
02/02/2025,0.128287037,45690,0.059872685,xxx,,card,5555,"-295,14",DKK,yyyy,,,Entertainment,41000.26
31/01/2025,0.853761574,45688,0.853761574,xxx,,account,,"19,64",DKK,yyyy,,,Miscellaneous,41295.4
31/01/2025,0.752916667,45688,0.752916667,xxx,,account,,"799,00",DKK,yyyy,,,Not categorised,41275.76
31/01/2025,0.201087963,45688,0.201087963,xxx,,account,,"10.534,00",DKK,yyyy,,,Not categorised,40476.76
31/01/2025,0.201087963,45688,0.201087963,xxx,,account,,"1.905,92",DKK,yyyy,,,Not categorised,29942.76
29/01/2025,0.461412037,45686,0.703402778,xxx,,card,5555,"-1.100,00",DKK,yyyy,,,Investments,28036.84
