Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
EXCHANGE,Current,7/1/2024 16:51,7/1/2024 16:51,xxx,100,0,USD,COMPLETED,100
TRANSFER,Current,7/1/2024 16:53,7/1/2024 16:53,xxx,"-77,5",0,USD,COMPLETED,"22,5"
TRANSFER,Current,7/18/2024 18:01,7/18/2024 18:01,xxx,200,0,USD,COMPLETED,"222,5"
TRANSFER,Current,7/18/2024 18:05,7/18/2024 18:05,xxx,"-187,5",0,USD,COMPLETED,35
TRANSFER,Current,8/5/2024 20:40,8/5/2024 20:40,xxx,75,0,USD,COMPLETED,110
TRANSFER,Current,8/7/2024 15:36,8/7/2024 15:36,xxx,175,0,USD,COMPLETED,285
TRANSFER,Current,8/7/2024 15:37,8/7/2024 15:37,xxx,-175,0,USD,COMPLETED,110
TRANSFER,Current,8/26/2024 16:49,8/26/2024 16:49,xxx,175,0,USD,COMPLETED,285
TRANSFER,Current,9/1/2024 16:41,9/1/2024 16:41,xxx,-50,0,USD,COMPLETED,235
TRANSFER,Current,9/10/2024 10:52,9/10/2024 10:52,xxx,-50,0,USD,COMPLETED,185
TRANSFER,Current,9/30/2024 14:56,9/30/2024 14:56,xxx,"-122,5",0,USD,COMPLETED,"62,5"
EXCHANGE,Current,9/5/2024 19:46,9/5/2024 19:46,xxx,"83,524999999999991",0,EUR,COMPLETED,"83,524999999999991"
TRANSFER,Current,10/20/2024 19:43,10/20/2024 19:43,xxx,"-82,5",0,EUR,COMPLETED,"1,025"
TRANSFER,Current,12/20/2024 8:12,12/20/2024 8:12,xxx,125,0,EUR,COMPLETED,"126,02499999999999"
CASHBACK,Savings,8/8/2024 21:31,8/9/2024 3:46,xxx,"0,17500000000000002",0,DKK,COMPLETED,"0,17500000000000002"
TRANSFER,Savings,8/14/2024 14:37,8/14/2024 14:37,xxx,"-0,17500000000000002",0,DKK,COMPLETED,0
TRANSFER,Savings,8/14/2024 14:37,8/14/2024 14:37,xxx,0,0,DKK,COMPLETED,0
TOPUP,Current,6/29/2024 16:32,6/29/2024 16:32,xxx,"399,975",0,DKK,COMPLETED,"399,975"
FEE,Current,6/29/2024 16:32,6/29/2024 16:32,xxx,"-149,975",0,DKK,COMPLETED,250
TOPUP,Current,7/1/2024 16:50,7/1/2024 16:50,xxx,2500,0,DKK,COMPLETED,2750
EXCHANGE,Current,7/1/2024 16:51,7/1/2024 16:51,xxx,"-696,67500000000007",0,DKK,COMPLETED,"2053,3250000000003"
CARD_PAYMENT,Current,7/17/2024 15:32,7/18/2024 13:44,xxx,"-152,5",0,DKK,COMPLETED,"1900,825"
CARD_PAYMENT,Current,7/17/2024 15:55,7/18/2024 14:02,xxx,"-124,75",0,DKK,COMPLETED,"1776,0749999999998"
CARD_PAYMENT,Current,7/19/2024 18:43,7/20/2024 14:43,xxx,-275,0,DKK,COMPLETED,"1501,0749999999998"
CARD_PAYMENT,Current,8/3/2024 15:56,8/4/2024 6:56,xxx,"-452,5",0,DKK,COMPLETED,"1048,575"
CARD_PAYMENT,Current,8/3/2024 16:05,8/4/2024 6:56,xxx,"-108,625",0,DKK,COMPLETED,"939,95"
