Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
TRANSFER,Current,03/01/2024 05:49,03/01/2024 06:46,xxx,-10000,0,CZK,COMPLETED,1630
TOPUP,Current,03/03/2024 08:55,03/03/2024 08:55,xxx,7500,0,CZK,COMPLETED,9130
TOPUP,Current,3/21/2024 6:53,3/21/2024 6:53,xxx,7500,0,CZK,COMPLETED,16630
TRANSFER,Current,3/21/2024 6:54,3/21/2024 7:08,xxx,-12500,0,CZK,COMPLETED,4130
EXCHANGE,Current,04/07/2024 08:23,04/07/2024 08:23,xxx,25329,0,CZK,COMPLETED,29460
TRANSFER,Current,04/07/2024 08:24,04/08/2024 08:30,xxx,-12500,0,CZK,COMPLETED,16960
TOPUP,Current,04/11/2024 20:59,04/11/2024 21:00,xxx,7500,0,CZK,COMPLETED,24460
TRANSFER,Current,05/02/2024 06:00,05/02/2024 08:16,xxx,-7500,0,CZK,COMPLETED,16960
EXCHANGE,Current,5/31/2024 20:21,5/31/2024 20:21,xxx,16506,0,CZK,COMPLETED,33466
TRANSFER,Current,5/31/2024 20:07,5/31/2024 20:45,xxx,-16250,0,CZK,COMPLETED,17216
TRANSFER,Current,06/05/2024 10:38,06/05/2024 10:52,xxx,-12500,0,CZK,COMPLETED,4716
EXCHANGE,Current,6/18/2024 10:41,6/18/2024 10:41,xxx,10340,0,CZK,COMPLETED,15056
EXCHANGE,Current,6/21/2024 11:01,6/21/2024 11:01,xxx,16671,0,CZK,COMPLETED,31727
TRANSFER,Current,6/21/2024 11:02,6/21/2024 11:37,xxx,-17500,0,CZK,COMPLETED,14227
EXCHANGE,Current,6/23/2024 19:53,6/23/2024 19:53,xxx,-20,0,CZK,COMPLETED,14207
CARD_PAYMENT,Current,6/23/2024 19:53,6/24/2024 16:04,xxx,-390,0,CZK,COMPLETED,13817
EXCHANGE,Current,6/24/2024 17:23,6/24/2024 17:23,xxx,-25,0,CZK,COMPLETED,13792
ATM,Current,6/24/2024 18:46,6/25/2024 17:00,xxx,-1250,0,CZK,COMPLETED,12542
CARD_PAYMENT,Current,6/24/2024 17:23,6/25/2024 17:02,xxx,"-338,0",0,CZK,COMPLETED,"12204,0"
EXCHANGE,Current,6/27/2024 17:48,6/27/2024 17:48,xxx,20923,0,CZK,COMPLETED,33127
TRANSFER,Current,6/27/2024 17:49,6/27/2024 18:20,xxx,-20000,0,CZK,COMPLETED,13127
TOPUP,Current,07/11/2024 14:55,07/11/2024 14:55,xxx,7500,0,CZK,COMPLETED,20627
EXCHANGE,Current,7/16/2024 19:33,7/16/2024 19:33,xxx,3125,0,CZK,COMPLETED,23752
EXCHANGE,Current,7/24/2024 7:54,7/24/2024 7:54,xxx,3275,0,CZK,COMPLETED,27027
EXCHANGE,Current,08/03/2024 10:11,08/03/2024 10:11,xxx,12605,0,CZK,COMPLETED,39632
EXCHANGE,Current,08/05/2024 16:53,08/05/2024 16:53,xxx,-22,0,CZK,COMPLETED,39610
CARD_PAYMENT,Current,08/05/2024 16:53,08/06/2024 07:06,xxx,-489,0,CZK,COMPLETED,39121
TOPUP,Current,08/12/2024 13:51,08/12/2024 13:51,xxx,7500,0,CZK,COMPLETED,46621
TRANSFER,Current,8/22/2024 21:38,8/22/2024 22:15,xxx,-25000,0,CZK,COMPLETED,21621
TRANSFER,Current,9/23/2024 21:40,9/23/2024 21:54,xxx,-21250,0,CZK,COMPLETED,371
TOPUP,Current,10/31/2024 13:56,10/31/2024 13:57,xxx,7500,0,CZK,COMPLETED,7871
EXCHANGE,Current,11/11/2024 13:57,11/11/2024 13:57,xxx,19466,0,CZK,COMPLETED,27337
TRANSFER,Current,11/11/2024 13:59,11/11/2024 14:36,xxx,-26250,0,CZK,COMPLETED,1087
TOPUP,Current,11/14/2024 15:46,11/14/2024 15:46,xxx,8750,0,CZK,COMPLETED,9837
TRANSFER,Current,12/08/2024 20:07,12/09/2024 10:05,xxx,-8750,0,CZK,COMPLETED,1087
EXCHANGE,Current,12/19/2024 18:55,12/19/2024 18:55,xxx,20993,0,CZK,COMPLETED,22080
TRANSFER,Current,12/19/2024 18:58,12/19/2024 20:36,xxx,-21250,0,CZK,COMPLETED,830
EXCHANGE,Current,03/09/2024 16:00,03/09/2024 16:00,xxx,"38,0",0,USD,COMPLETED,"38,0"
CARD_PAYMENT,Current,03/09/2024 16:05,03/10/2024 16:25,xxx,-35,0,USD,COMPLETED,2
EXCHANGE,Current,3/23/2024 13:48,3/23/2024 13:48,xxx,425,0,USD,COMPLETED,427
CARD_PAYMENT,Current,3/23/2024 13:50,3/24/2024 14:13,xxx,-400,0,USD,COMPLETED,27
EXCHANGE,Current,04/01/2024 18:46,04/01/2024 18:46,xxx,"88,0",0,USD,COMPLETED,115
TRANSFER,Current,04/01/2024 18:47,04/01/2024 18:47,xxx,"-108,0",0,USD,COMPLETED,7
TRANSFER,Current,04/01/2024 19:12,04/01/2024 19:12,xxx,"-2,0",0,USD,COMPLETED,5
EXCHANGE,Current,04/06/2024 09:24,04/06/2024 09:24,xxx,150,0,USD,COMPLETED,155
TRANSFER,Current,05/02/2024 09:30,05/02/2024 09:30,xxx,-135,0,USD,COMPLETED,20
EXCHANGE,Current,05/06/2024 20:34,05/06/2024 20:34,xxx,144,0,USD,COMPLETED,164
EXCHANGE,Current,5/25/2024 9:34,5/25/2024 9:34,xxx,"138,0",0,USD,COMPLETED,301
TRANSFER,Current,06/03/2024 06:53,06/03/2024 06:53,xxx,-136,0,USD,COMPLETED,165
EXCHANGE,Current,7/16/2024 19:30,7/16/2024 19:30,xxx,85,0,USD,COMPLETED,250
TRANSFER,Current,7/18/2024 18:01,7/18/2024 18:01,xxx,-200,0,USD,COMPLETED,50
EXCHANGE,Current,7/24/2024 7:51,7/24/2024 7:51,xxx,50,0,USD,COMPLETED,100
EXCHANGE,Current,7/24/2024 19:06,7/24/2024 19:06,xxx,-4,0,USD,COMPLETED,96
CARD_PAYMENT,Current,7/24/2024 19:06,7/25/2024 14:58,xxx,-15,0,USD,COMPLETED,80
TRANSFER,Current,08/05/2024 20:40,08/05/2024 20:40,xxx,-75,0,USD,COMPLETED,5
EXCHANGE,Current,08/07/2024 15:33,08/07/2024 15:33,xxx,250,0,USD,COMPLETED,255
TRANSFER,Current,08/07/2024 15:36,08/07/2024 15:36,xxx,-175,0,USD,COMPLETED,80
EXCHANGE,Current,08/07/2024 20:49,08/07/2024 20:49,xxx,109,0,USD,COMPLETED,190
TRANSFER,Current,8/26/2024 16:49,8/26/2024 16:49,xxx,-175,0,USD,COMPLETED,15
EXCHANGE,Current,8/26/2024 16:52,8/26/2024 16:52,xxx,187,0,USD,COMPLETED,"202,0"
TRANSFER,Current,9/23/2024 16:44,9/23/2024 16:44,xxx,"-98,0",0,USD,COMPLETED,104
EXCHANGE,Current,11/11/2024 11:41,11/11/2024 11:41,xxx,1385,"8,25",USD,COMPLETED,1468
EXCHANGE,Current,11/11/2024 15:57,11/11/2024 15:57,xxx,89,"1,61",USD,COMPLETED,1553
CARD_PAYMENT,Current,11/12/2024 09:11,11/12/2024 16:35,xxx,"-62,0",0,USD,COMPLETED,1491
CARD_PAYMENT,Current,12/30/2024 13:00,12/31/2024 12:12,xxx,-48,0,USD,COMPLETED,1442
