Date,Amount,Balance,Reconciled,Kontonummer,Accountname,Maincategory,Category,Comment,Text
27/03/2024,16188.996,35860.128,,1111,sapphire,Income,"Pay, benefits and pension",,yyy
25/03/2024,-18.3,19671.132,,1111,sapphire,Home,"Cleaning and gardening help, etc.",,yyy
25/03/2024,-18.3,19689.432,,1111,sapphire,Home,"Cleaning and gardening help, etc.",,yyy
25/03/2024,-14.376,19707.732,,1111,sapphire,Home,"Cleaning and gardening help, etc.",,yyy
05/03/2024,-360,19722.108,,1111,sapphire,Transportation,Taxis and public transportation,,yyy
01/03/2024,1308,20082.108,,1111,sapphire,Income,"Pay, benefits and pension",,yyy
01/03/2024,-1200,18774.108,,1111,sapphire,Savings and investment,Savings and investment (Other),,yyy
01/03/2024,-2400,19974.108,,1111,sapphire,Savings and investment,Pension savings,,yyy
08/04/2024,-8400,21826.824,,1111,sapphire,Not included in budget and consumption,No category (Transfer),,yyy
08/04/2024,-14.376,30226.824,,1111,sapphire,Home,"Cleaning and gardening help, etc.",,yyy
05/04/2024,-14.376,30241.2,,1111,sapphire,Home,"Cleaning and gardening help, etc.",,yyy
02/04/2024,-1040.4,30255.576,,1111,sapphire,Media,"Phone, internet, streaming and TV",,yyy
02/04/2024,-1200,31295.976,,1111,sapphire,Savings and investment,Savings and investment (Other),,yyy
02/04/2024,-1200,32495.976,,1111,sapphire,Savings and investment,Savings and investment (Other),,yyy
02/04/2024,-2400,33695.976,,1111,sapphire,Savings and investment,Pension savings,,yyy
02/04/2024,-646.8,36095.976,,1111,sapphire,Insurance,Union and unemployment insurance,,yyy
02/04/2024,-18.3,36742.776,,1111,sapphire,Home,"Cleaning and gardening help, etc.",,yyy
02/04/2024,-14.376,36761.076,,1111,sapphire,Home,"Cleaning and gardening help, etc.",,yyy
02/04/2024,-360,36775.452,,1111,sapphire,Transportation,Taxis and public transportation,,yyy
02/04/2024,-18.3,37135.452,,1111,sapphire,Home,"Cleaning and gardening help, etc.",,yyy
02/04/2024,-14.376,37153.752,,1111,sapphire,Home,"Cleaning and gardening help, etc.",,yyy
02/04/2024,1308,37168.128,,1111,sapphire,Income,"Pay, benefits and pension",,yyy
19/04/2024,-360,30573.684,,1111,sapphire,Transportation,Taxis and public transportation,,yyy
