date,account,category,amount,currency,transfer_type
17/06/2020,Crimson Bank,Cash withdrawal,-2590,CZK,Income/Expense
15/06/2020,Crimson Bank,Salary,555,CZK,Income/Expense
15/06/2020,Crimson Bank,Culture,-1406,CZK,Income/Expense
12/06/2020,Crimson Bank,Miscellaneous,-72.33499718,CZK,Income/Expense
11/06/2020,Crimson Bank,Other shopping,555,CZK,Income/Expense
09/06/2020,Crimson Bank,Money from parents,12950,CZK,Income/Expense
09/06/2020,Crimson Bank,Miscellaneous,1681.65,CZK,Income/Expense
09/06/2020,Crimson Bank,Rent,-12539.3,CZK,Income/Expense
09/06/2020,Crimson Bank,Credit card,-7969.522681,CZK,Internal transfer
08/06/2020,Crimson Bank,Forwarding from accounts,6475,CZK,Internal transfer
08/06/2020,Crimson Bank,Sport,740,CZK,Income/Expense
05/06/2020,Crimson Bank,Cash withdrawal,-1110,CZK,Income/Expense
01/06/2020,Crimson Bank,Apartment furniture and equipment,-1711.25,CZK,Income/Expense
19/05/2020,Crimson Bank,Other shopping,555,CZK,Income/Expense
19/05/2020,Crimson Bank,Groceries,-1101.120023,CZK,Income/Expense
18/05/2020,Crimson Bank,Other shopping,777,CZK,Income/Expense
18/05/2020,Crimson Bank,Cash withdrawal,-2590,CZK,Income/Expense
15/05/2020,Crimson Bank,Forwarding from accounts,-3774,CZK,Internal transfer
14/05/2020,Crimson Bank,Salary,3685.2,CZK,Income/Expense
12/05/2020,Crimson Bank,Salary,13268.2,CZK,Income/Expense
12/05/2020,Crimson Bank,Forwarding from accounts,-6475,CZK,Internal transfer
11/05/2020,Crimson Bank,Other shopping,370,CZK,Income/Expense
11/05/2020,Crimson Bank,Rent,-12539.3,CZK,Income/Expense
11/05/2020,Crimson Bank,Gifts,-925,CZK,Income/Expense
07/05/2020,Crimson Bank,Money from parents,11100,CZK,Income/Expense
06/05/2020,Crimson Bank,Credit card,-6085.352783,CZK,Internal transfer
29/04/2020,Crimson Bank,Gifts,-101.75,CZK,Income/Expense
28/04/2020,Crimson Bank,Cash withdrawal,-1110,CZK,Income/Expense
14/04/2020,Crimson Bank,Other shopping,370,CZK,Income/Expense
09/04/2020,Crimson Bank,Salary,7015.2,CZK,Income/Expense
09/04/2020,Crimson Bank,Rent,-12539.3,CZK,Income/Expense
08/04/2020,Crimson Bank,Money from parents,11100,CZK,Income/Expense
07/04/2020,Crimson Bank,Other shopping,555,CZK,Income/Expense
07/04/2020,Crimson Bank,Credit card,-2933.508099,CZK,Internal transfer
02/04/2020,Crimson Bank,Fees,-109.15,CZK,Income/Expense
30/03/2020,Crimson Bank,Culture,-1182.15,CZK,Income/Expense
23/03/2020,Crimson Bank,Groceries,-67.34000282,CZK,Income/Expense
16/03/2020,Crimson Bank,Miscellaneous,-2818.160419,CZK,Income/Expense
11/03/2020,Crimson Bank,Cash withdrawal,-1850,CZK,Income/Expense
10/03/2020,Crimson Bank,Salary,17212.4,CZK,Income/Expense
10/03/2020,Crimson Bank,Rent,-12539.3,CZK,Income/Expense
09/03/2020,Crimson Bank,Miscellaneous,-1295,CZK,Income/Expense
06/03/2020,Crimson Bank,Money from parents,11100,CZK,Income/Expense
06/03/2020,Crimson Bank,Forwarding from accounts,5550,CZK,Internal transfer
06/03/2020,Crimson Bank,Credit card,-9166.139355,CZK,Internal transfer
06/03/2020,Crimson Bank,Miscellaneous,-1010.1,CZK,Income/Expense
03/03/2020,Crimson Bank,Cash withdrawal,-925,CZK,Income/Expense
27/02/2020,Crimson Bank,Cash withdrawal,-925,CZK,Income/Expense
24/02/2020,Crimson Bank,Other shopping,1147,CZK,Income/Expense
18/02/2020,Crimson Bank,Credit card,-5550,CZK,Internal transfer
18/02/2020,Crimson Bank,Culture,-138.75,CZK,Income/Expense
17/02/2020,Crimson Bank,Forwarding from accounts,3700,CZK,Internal transfer
13/02/2020,Crimson Bank,Salary,17334.5,CZK,Income/Expense
13/02/2020,Crimson Bank,Rent,-12539.3,CZK,Income/Expense
13/02/2020,Crimson Bank,Cash withdrawal,-1110,CZK,Income/Expense
12/02/2020,Crimson Bank,Forwarding from accounts,-370,CZK,Internal transfer
12/02/2020,Crimson Bank,Other shopping,-92.5,CZK,Income/Expense
11/02/2020,Crimson Bank,Credit card,-9463.452783,CZK,Internal transfer
11/02/2020,Crimson Bank,Cash withdrawal,-925,CZK,Income/Expense
11/02/2020,Crimson Bank,Restaurant,-370,CZK,Income/Expense
10/02/2020,Crimson Bank,Restaurant,-395.9,CZK,Income/Expense
07/02/2020,Crimson Bank,Money from parents,11100,CZK,Income/Expense
06/02/2020,Crimson Bank,Cash withdrawal,-1110,CZK,Income/Expense
04/02/2020,Crimson Bank,Transport,-40.7,CZK,Income/Expense
04/02/2020,Crimson Bank,Transport,-38.85,CZK,Income/Expense
03/02/2020,Crimson Bank,Forwarding from accounts,3700,CZK,Internal transfer
03/02/2020,Crimson Bank,Gifts,1110,CZK,Income/Expense
03/02/2020,Crimson Bank,Gifts,925,CZK,Income/Expense
03/02/2020,Crimson Bank,Credit card,-8325,CZK,Internal transfer
30/01/2020,Crimson Bank,Salary,5159.65,CZK,Income/Expense
30/01/2020,Crimson Bank,Cash withdrawal,-370,CZK,Income/Expense
29/01/2020,Crimson Bank,Cash withdrawal,-4625,CZK,Income/Expense
28/01/2020,Crimson Bank,Miscellaneous,-555,CZK,Income/Expense
