Type,Product,Started Date,Completed Date,Amount,Fee,Currency,State,Balance,sub_category
TRANSFER,Current,03/01/2024 05:49,03/01/2024 06:46,-7800,0,CZK,COMPLETED,652.17,Forwarding from accounts
TOPUP,Current,03/03/2024 08:55,03/03/2024 08:55,5850,0,CZK,COMPLETED,3652.17,Forwarding from accounts
TOPUP,Current,3/21/2024 6:53,3/21/2024 6:53,5850,0,CZK,COMPLETED,6652.17,Forwarding from accounts
TRANSFER,Current,3/21/2024 6:54,3/21/2024 7:08,-9750,0,CZK,COMPLETED,1652.17,Forwarding from accounts
EXCHANGE,Current,03/11/2024 08:46,03/11/2024 08:46,117.4485,0,EUR,COMPLETED,77.07,Forwarding from accounts
EXCHANGE,Current,03/12/2024 17:48,03/12/2024 17:48,104.3835,0,EUR,COMPLETED,130.6,Forwarding from accounts
CARD_PAYMENT,Current,3/26/2024 1:25,3/26/2024 11:17,-22.1715,0,EUR,COMPLETED,119.23,Courses + study
EXCHANGE,Current,03/09/2024 16:00,03/09/2024 16:00,-199.875,1.02,DKK,COMPLETED,466.96,Forwarding from accounts
EXCHANGE,Current,03/11/2024 08:46,03/11/2024 08:46,-877.5,0,DKK,COMPLETED,16.96,Forwarding from accounts
TOPUP,Current,03/12/2024 17:45,03/12/2024 17:46,1950,0,DKK,COMPLETED,1016.96,Forwarding from accounts
EXCHANGE,Current,03/12/2024 17:48,03/12/2024 17:48,-780,0,DKK,COMPLETED,616.96,Forwarding from accounts
ATM,Current,3/14/2024 16:26,3/15/2024 18:28,-975,0,DKK,COMPLETED,116.96,Cash withdrawal
TOPUP,Current,3/23/2024 13:45,3/23/2024 13:46,2925,0,DKK,COMPLETED,1616.96,Forwarding from accounts
EXCHANGE,Current,3/23/2024 13:48,3/23/2024 13:48,-2297.958,0,DKK,COMPLETED,438.52,Forwarding from accounts
EXCHANGE,Current,03/09/2024 16:00,03/09/2024 16:00,29.25,0,USD,COMPLETED,15,Forwarding from accounts
CARD_PAYMENT,Current,03/09/2024 16:05,03/10/2024 16:25,-27.6705,0,USD,COMPLETED,0.81,Electronics
EXCHANGE,Current,3/23/2024 13:48,3/23/2024 13:48,331.5,0,USD,COMPLETED,170.81,Forwarding from accounts
CARD_PAYMENT,Current,3/23/2024 13:50,3/24/2024 14:13,-312,0,USD,COMPLETED,10.81,Courses + study
